電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
白雪公主與七個小矮人,Snow White and the Seven Dwarfs,經典電影,美加,1937,大衛·韓德(DavidHand)【幻想曲】,"愛德麗安娜·卡西洛蒂(AdrianaCaselottit), 羅伊奧特偉(RoyAtwell), 斯圖爾特布坎南(StuartBuchanan)",https://hamivideo.hinet.net/product/40206.do?cs=2,4.3,83分鐘,,97%,78%,8.4,NoRating,NoRating,
偶然與想像,Wheel of Fortune and Fantasy,劇情,日本,2021,濱口竜介,"古川琴音, 中島步, 玄理, 涉川清彥, 森郁月, 甲斐翔真, 占部房子, 河井青葉",https://hamivideo.hinet.net/product/190189.do?cs=2,4.6,121分鐘,tt14034966,99%,83%,8.3,7.5,86/100,
愛情齡距離,Home Again,愛情,美加,2017,海莉梅耶斯夏爾,"瑞絲薇斯朋, 麥可辛, 皮可亞歷山大",https://hamivideo.hinet.net/product/55020.do?cs=2,4.4,97分鐘,tt5719700,33%,44%,5.7,5.8,41/100,
狄仁傑之四大天王,Detective Dee: The Four Heavenly Kings,動作,中國,2018,徐克,"趙又廷, 劉嘉玲, 馮紹峰, 馬思純, 林更新, 阮經天",https://hamivideo.hinet.net/product/74208.do?cs=2,3.9,131分鐘,tt6869538,58%,67%,6.1,6.3,58/100,
逃出弒命鎮,Shadowtown,驚悚,歐洲,2020,"約翰埃納森古斯塔夫森, 卡羅琳娜勒維卡","布蘭妮布里斯托, 約翰萊斯戴維斯, 柯本艾比恩松, 茵佳瑪麗雅依卓斯多媞, 艾達碧爾文斯多媞",https://hamivideo.hinet.net/product/139881.do?cs=2,2.0,80分鐘,tt9806258,NoRating,NoRating,NoRating,4.6,NoRating,
海上鋼琴師(數位修復版),The legend of 1900,劇情,美加,2019,朱賽貝托納多雷,"提姆羅斯, 普魯特泰勒文斯",https://hamivideo.hinet.net/product/129128.do?cs=2,4.8,120分鐘,,58%,91%,NoRating,NoRating,NoRating,
芭蕾奇緣（中文版）,Ballerina（Mandarin）,動畫,法國,2016,"艾瑞克桑默, 艾瑞克華倫","李昀晴, 宋昱璁, 林沛苓, 楊凱凱",https://hamivideo.hinet.net/product/52848.do?cs=2,4.5,90分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
101忠狗,101 Dalmatians,經典電影,美加,2013,克萊德傑洛尼米(ClydeGeronimi)【小飛俠】,"洛德泰勒(RodTaylor)【鳥】, 凱特包爾(CateBauer)【愛麗絲夢遊仙境】, 貝蒂羅格爾森(BettyLouGerson)【變蠅人誕生】",https://hamivideo.hinet.net/product/41168.do?cs=2,4.8,79分鐘,tt0055254,98%,40%,8.6,7.3,83/100,
寒單,Han Dan,劇情,台灣,2019,黃朝亮,"胡宇威, 鄭人碩, 黃瀞怡(小薫), 楊貴媚, 高捷, 陸弈靜, 陳博正, 嚴藝文, 林予晞",https://hamivideo.hinet.net/product/194182.do?cs=2,4.3,124分鐘,tt9531138,NoRating,NoRating,7.3,6.9,NoRating,
爆彈,SUZUKI=BAKUDAN,劇情,日本,2026,永井聰,"山田裕貴, 佐藤二朗, 染谷將太, 伊藤沙莉, 坂東龍汰",https://hamivideo.hinet.net/product/323993.do?cs=2,4.5,136分鐘,tt38525288,NoRating,NoRating,7.2,6.9,NoRating,
一吻定情,Fall in Love at First Kiss,愛情,台灣,2019,陳玉珊,"王大陸, 林允, 陳柏融, 蔡思韵, 邰智源, 李銘順, 鍾麗緹",https://hamivideo.hinet.net/product/79909.do?cs=2,4.4,121分鐘,tt9657764,NoRating,NoRating,4.4,5.9,NoRating,
七夜怪談,Ringu,驚悚,日本,1999,中田秀夫,"松嶋菜菜子, 真田廣之, 中谷美紀, 竹内結子",https://hamivideo.hinet.net/product/88078.do?cs=2,4.5,95分鐘,tt0178868,98%,81%,7.6,7.2,NoRating,
樹海村,Suicide Forest Village,驚悚,日本,2021,清水崇,"山田杏奈, 山口麻友, 工藤遙, 大谷凜香, 黑澤明日香, 高橋和也, 安達祐實, 原日出子, 國村隼",https://hamivideo.hinet.net/product/157893.do?cs=2,3.6,116分鐘,tt12740648,NoRating,50%,5.3,5.2,NoRating,
黃金之刻,Founder the story of Kintaro Hattori,劇情,日本,2024,豐島圭介,"西島秀俊, 松嶋菜菜子, 水上恒司",https://hamivideo.hinet.net/product/258742.do?cs=2,4.4,94分鐘,,82%,98%,NoRating,NoRating,NoRating,
與神同行,Along With the Gods: The Two Worlds,劇情,韓國,2017,金容華,"河正宇, 車太鉉, 朱智勳, 金香起, 李政宰, 金東昱, 都敬秀",https://hamivideo.hinet.net/product/301813.do?cs=2,4.7,139分鐘,tt7160070,70%,84%,7.8,7.2,NoRating,
航海王劇場版：奪寶爭霸戰,One Piece: Stampede,動畫,日本,2019,大塚隆史,田中真弓,https://hamivideo.hinet.net/product/316764.do?cs=2,4.7,101分鐘,tt9430698,94%,99%,7.5,7.5,NoRating,
第一爐香,Love After Love,劇情,中國,2022,許鞍華,"馬思純, 俞飛鴻, 彭于晏, 張鈞甯, 范偉, 梁洛施, 張佳寧, 尹昉, 秦沛, 白冰",https://hamivideo.hinet.net/product/190451.do?cs=2,3.3,140分鐘,tt10415576,71%,41%,5,5.7,59/100,
我的英雄學院劇場版：Youre Next,My Hero Academia: Youre Next,動畫,日本,2024,岡村天齋,"山下大輝, 岡本信彥, 佐倉綾音, 梶裕貴, 石川界人",https://hamivideo.hinet.net/product/295309.do?cs=2,4.6,110分鐘,tt32176689,95%,91%,NoRating,7.0,NoRating,
一對一,One on One,驚悚,韓國,2014,金基德,"馬東石, 金永敏, 趙東仁",https://hamivideo.hinet.net/product/233997.do?cs=2,3.3,121分鐘,tt26315142,78%,72%,7,7.0,91/100,
要命劫案,Cash Out,動作,美加,2024,藍道艾米特,"約翰屈伏塔, 克莉絲汀戴維斯",https://hamivideo.hinet.net/product/279513.do?cs=2,3.6,90分鐘,tt24131288,20%,22%,4.6,4.8,46/100,
窗邊的小荳荳,Totto-Chan: The Little Girl at the Window,動畫,日本,2024,八鍬新之介,"役所廣司, 小栗旬, 杏, 瀧澤凱倫, 大野莉莉亞奈",https://hamivideo.hinet.net/product/283000.do?cs=2,4.6,114分鐘,tt28347814,NoRating,NoRating,8.2,7.6,NoRating,
我的老婆有點冷,I Still Want to Do It with My Wife,喜劇,日本,2025,足立紳,"風間俊介, MEGUMI, 嶋田鐵太, 吉本實憂, 熊谷真實, 近藤芳正",https://hamivideo.hinet.net/product/320082.do?cs=2,3.7,129分鐘,,99%,95%,NoRating,NoRating,NoRating,
婚姻拉警報,Maybe I Do,愛情,美加,2021,麥可傑寇布斯,"艾瑪羅勃茲, 黛安基頓, 李察吉爾, 路克布萊西, 威廉梅西",https://hamivideo.hinet.net/product/237947.do?cs=2,3.9,94分鐘,tt20879602,30%,61%,5.6,5.0,42/100,
刺客聶隱娘,The Assassin,劇情,台灣,2015,侯孝賢,"舒淇, 張震, 周韵, 妻夫木聰, 謝欣穎, 阮經天, 許芳宜, 倪大紅",https://hamivideo.hinet.net/product/151157.do?cs=2,4.0,105分鐘,tt3508840,80%,48%,7.3,6.3,82/100,
江南1970,Gangnam 1970,動作,韓國,2022,柳河,"李敏鎬, 金來沅, 金雪炫, 鄭進永",https://hamivideo.hinet.net/product/214740.do?cs=2,4.4,135分鐘,tt3698118,60%,56%,6.8,6.2,NoRating,
媽的多重宇宙(新譯字幕版),Everything Everywhere All at Once,動作,美加,2022,"丹尼爾關, 丹尼爾舒奈特","楊紫瓊, 潔美李寇蒂斯, 關繼威, 吳漢章, 史蒂芬妮許",https://hamivideo.hinet.net/product/268350.do?cs=2,4.4,139分鐘,tt6710474,93%,79%,7.6,7.7,81/100,
絕命終結站,FINAL DESTINATION (2000),驚悚,美加,2000,黃毅瑜,"戴文沙瓦, 艾麗拉特, 科爾史密斯",https://hamivideo.hinet.net/product/209586.do?cs=2,4.6,97分鐘,tt9619824,92%,86%,6.9,6.7,73/100,
巴比倫,BABYLON,劇情,美加,2023,達米恩查澤雷,"布萊德彼特, 瑪格羅比, 迪亞哥卡爾瓦, 奧莉維亞魏爾德, 陶比麥奎爾, 李麗君",https://hamivideo.hinet.net/product/317683.do?cs=2,4.0,188分鐘,tt10640346,57%,53%,8,7.1,61/100,
鳶,TOMBI: Father and Son,劇情,日本,2022,瀨瀨敬久,"阿部寬, 北村匠海, 杏, 藥師丸博子, 安田顯, 大島優子",https://hamivideo.hinet.net/product/201206.do?cs=2,4.7,139分鐘,tt19632774,NoRating,NoRating,7.4,6.4,NoRating,
無名戰士,Unknown Soldier,劇情,歐洲,2018,阿庫盧米斯,"艾莉娜湯尼科夫, 約翰荷洛潘恩, 薩姆爾沃拉莫",https://hamivideo.hinet.net/product/77171.do?cs=2,4.4,132分鐘,tt4065552,NoRating,84%,7.9,7.7,NoRating,
絕命大平台,The Platform,科幻,西班牙,2020,高德加斯泰盧烏魯提亞,"伊萬馬薩格, 佐里昂埃奎勒, 亞歷山德拉瑪桑凱",https://hamivideo.hinet.net/product/114094.do?cs=2,3.6,94分鐘,tt8228288,81%,72%,7.9,7.0,73/100,
模範生禁愛秘密,Girls Will Be Girls,愛情,印度,2024,舒奇塔拉蒂,"普雷蒂帕尼格拉西, 卡尼庫斯魯蒂, 凱薩夫比諾伊基隆",https://hamivideo.hinet.net/product/286122.do?cs=2,3.4,119分鐘,tt18277182,100%,NoRating,7.5,7.0,79/100,
模犯母親,Montage,驚悚,韓國,2013,鄭根燮,"嚴正化, 金相慶, 宋永彰, 曹熙奉, 鄭海均, 柳承穆, 吳代煥",https://hamivideo.hinet.net/product/231244.do?cs=2,4.5,120分鐘,tt2969522,97%,81%,8.2,7.4,NoRating,
神機有毛病,Jexi,喜劇,美加,2019,"強盧卡斯, 史考特摩爾","亞當迪凡, 蘿絲拜恩, 亞利珊卓希普",https://hamivideo.hinet.net/product/100237.do?cs=2,4.2,84分鐘,tt9354944,23%,71%,6.5,6.0,39/100,
羅布泊幽陵,Lop Nor Tomb,動作,中國,2023,黃凱,"白恩, 胡雪兒, 楊冬麒",https://hamivideo.hinet.net/product/265829.do?cs=2,2.7,89分鐘,tt32126588,NoRating,NoRating,3.8,5.6,NoRating,
越南名偵探：無頭詛咒,Detective Kien: Headless Horror,驚悚,越南,2025,武國越,"國輝, 丁玉葉, 陳國英, 段明安",https://hamivideo.hinet.net/product/314997.do?cs=2,4.0,131分鐘,tt36386168,NoRating,89%,6,6.5,NoRating,
神之一手：鬼手篇,The Divine Move 2: The Wrathful,動作,韓國,2019,李建,"權相佑, 金希沅, 金成均, 禹棹奐",https://hamivideo.hinet.net/product/118029.do?cs=2,4.5,106分鐘,tt11177112,NoRating,60%,6.9,6.4,NoRating,
辣妹刺客,Baby Assassins,動作,日本,2021,阪元裕吾,"高石明鈴, 伊澤彩織, 三元雅藝, 秋谷百音, 本宮泰風",https://hamivideo.hinet.net/product/173014.do?cs=2,3.4,94分鐘,tt15028452,100%,89%,7.7,6.4,NoRating,
挑戰者,CHALLENGERS,劇情,美加,2024,盧卡格達戈尼諾,"麥克費斯, 喬許奧康納, 辛黛亞",https://hamivideo.hinet.net/product/324749.do?cs=2,4.0,131分鐘,tt16426418,88%,76%,6.5,7.0,82/100,
萬惡世代,The Generation of Evil,劇情,歐洲,2023,艾米利斯維萊維斯,"英格鮑嘉戴肯耐, 維陶塔斯卡紐索尼斯, 多納塔斯西姆考斯卡斯, 艾尼斯史多皮爾希吉斯",https://hamivideo.hinet.net/product/224714.do?cs=2,4.3,114分鐘,tt13419036,NoRating,NoRating,7.2,7.5,NoRating,
陰陽眼見子,The Girl Who Sees,劇情,日本,2021,中村義洋,"原菜乃華, 久間田琳加, Naenano, 山下幸輝, 京本大我",https://hamivideo.hinet.net/product/310833.do?cs=2,4.5,97分鐘,tt33829458,NoRating,NoRating,6.5,6.2,NoRating,
南宋詭事之鬼樊樓,,科幻,中國,2022,童輝,"唐禹哲, 克拉拉, 肖雨, 駱達華",https://hamivideo.hinet.net/product/272500.do?cs=2,3.3,87分鐘,,NoRating,NoRating,4.7,NoRating,NoRating,
雷神：愛與雷電,Thor: God of Thunder,動作,美加,2022,諾亞盧克,"維儂威爾斯, 泰勒克里斯托弗, 麥倫金格利",https://hamivideo.hinet.net/product/194631.do?cs=2,1.7,86分鐘,tt21053530,NoRating,11%,NoRating,2.3,NoRating,
怪奇寶貝,Sketch,劇情,美加,2025,賽斯沃利,"托尼海爾, 妲西卡登, 庫勞倫斯",https://hamivideo.hinet.net/product/315907.do?cs=2,4.3,92分鐘,tt26238710,95%,83%,6.2,6.6,78/100,
輪到你了 劇場版,Your Turn to Kill: The Movie,驚悚,日本,2022,佐久間紀佳,"原田知世, 田中圭, 西野七瀨, 橫濱流星",https://hamivideo.hinet.net/product/194386.do?cs=2,3.7,142分鐘,tt15034594,NoRating,NoRating,4.9,5.2,NoRating,
血戰400號高地,Assault on Hill 400,戰爭,美加,2023,克里斯多福雷,"威廉鮑德溫, 艾力克羅勃茲, 麥可麥德森, 瑞奇盧納洛, 巴布博賽克",https://hamivideo.hinet.net/product/238099.do?cs=2,2.3,86分鐘,tt26920957,NoRating,NoRating,3.5,2.5,NoRating,
捏造：史上最惡殺人教師,SHAM,驚悚,日本,2025,三池崇史,"綾野剛, 柴崎幸, 龜梨和也, 木村文乃, 小林薰",https://hamivideo.hinet.net/product/316133.do?cs=2,4.4,130分鐘,tt34459901,82%,NoRating,6.7,6.9,NoRating,
魔女神兵,Season of the Witch,動作,美加,2011,多明尼克賽納,"尼可拉斯凱吉, 朗帕爾曼, 烏力克湯姆森, 克里斯多夫李, 克萊兒芙伊",https://hamivideo.hinet.net/product/233065.do?cs=2,4.2,94分鐘,tt0479997,11%,31%,5.6,5.4,28/100,
金錢帝國：追虎擒龍(國語),Once Upon a Time in Hong Kong(Mandarin),動作,香港,2021,"王晶, 許悅銘","古天樂, 梁家輝, 吳鎮宇, 林家棟",https://hamivideo.hinet.net/product/244721.do?cs=2,3.2,105分鐘,tt14466064,NoRating,NoRating,5,5.5,NoRating,
難言之隱,Stay Mum,劇情,日本,2024,關根光才,"杏, 中須翔真, 奧田瑛二, 佐津川愛美",https://hamivideo.hinet.net/product/283926.do?cs=2,4.3,128分鐘,tt31307480,NoRating,NoRating,6.6,7.1,NoRating,
S風暴,S Storm,動作,香港,2016,林德祿,"古天樂, 蔡少芬, 張智霖, 周渝民",https://hamivideo.hinet.net/product/293412.do?cs=2,3.8,94分鐘,tt5998744,NoRating,NoRating,6,5.2,NoRating,
大力水手：血腥菠菜,Popeye the Slayer Man,驚悚,美加,2025,羅伯特麥可萊恩,"傑森羅伯特史蒂芬斯, 莎拉尼克林, 安吉拉雷魯西奧",https://hamivideo.hinet.net/product/293371.do?cs=2,2.7,87分鐘,tt30956852,NoRating,42%,3.5,3.6,NoRating,
重磅腥聞,Bombshell,劇情,美加,2020,傑洛奇,"瑪格羅比, 莎莉賽隆, 妮可基嫚, 約翰李斯高, 愛莉森珍妮",https://hamivideo.hinet.net/product/112787.do?cs=2,4.4,108分鐘,tt6394270,67%,84%,7.2,6.8,64/100,
忙愛不如盲婚,What’s Love Got To Do With It,愛情,英國,2024,夏克哈卡帕,"莉莉詹姆斯, 沙扎德拉提夫, 艾瑪湯普遜",https://hamivideo.hinet.net/product/270518.do?cs=2,4.5,108分鐘,tt13430858,71%,83%,6.1,6.3,59/100,
樂高旋風忍者電影(國語),"Lego Ninjago Movie, The",動畫,美加,2017,"查理賓, 保羅費舍爾, 鮑伯洛根","成龍, 戴夫法蘭科, 奧利薇亞穆恩",https://hamivideo.hinet.net/product/141505.do?cs=2,3.8,101分鐘,tt3014284,56%,47%,6.7,6.1,55/100,
鬼太郎誕生：咯咯咯之謎真生版,The Birth of Kitaro：The Mystery of GeGeGe –TruBorn Edition-,動畫,日本,2025,古賀豪,"關俊彥, 木内秀信, 種崎敦美, 小林由美子, 古川登志夫, 澤城美雪",https://hamivideo.hinet.net/product/299464.do?cs=2,4.7,105分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
奪冠,LEAP,劇情,中國,2022,陳可辛,"鞏俐, 黃渤, 吳剛, 彭昱暢, 白浪",https://hamivideo.hinet.net/product/194382.do?cs=2,4.0,134分鐘,tt19413802,24%,47%,8.4,7.7,NoRating,
越愛越墮落,Misbehavior,劇情,韓國,2017,金泰泳,"金荷娜, 柳仁英, 李源根",https://hamivideo.hinet.net/product/307220.do?cs=2,3.5,96分鐘,tt6302006,NoRating,67%,5.7,5.7,NoRating,
鬼影,Shutter,驚悚,泰國,2021,"班莊比辛達拿剛, 帕德潘王般","阿南達艾華靈漢, 娜特慧蘭, 阿琪塔西塔瑪娜",https://hamivideo.hinet.net/product/148861.do?cs=2,4.5,96分鐘,tt36984392,NoRating,NoRating,4.8,5.1,NoRating,
愛上謊言的女人,The Lies She Loved,愛情,日本,2018,中江和仁,"長澤雅美, 高橋一生, 川榮李奈",https://hamivideo.hinet.net/product/81011.do?cs=2,4.3,117分鐘,tt6733368,NoRating,NoRating,6.5,6.4,NoRating,
四月物語(數位修復版),APRIL STORY,愛情,日本,1998,岩井俊二,"松隆子, 田邊誠一, 江口洋介",https://hamivideo.hinet.net/product/241247.do?cs=2,4.4,67分鐘,,NoRating,82%,NoRating,NoRating,NoRating,
雙面愛人,The Double Lover,驚悚,法國,2017,佛朗索瓦歐容,"瑪林瓦特, 傑瑞米何尼葉",https://hamivideo.hinet.net/product/51981.do?cs=2,4.1,109分鐘,tt6367558,70%,48%,6.7,6.2,70/100,
銀魂2：規矩是為了被打破而存在的,GINTAMA 2,喜劇,日本,2018,福田雄一,"小栗旬, 菅田將暉, 橋本環奈, 長澤雅美, 岡田將生, 柳樂優彌",https://hamivideo.hinet.net/product/73725.do?cs=2,4.7,134分鐘,tt7639528,NoRating,NoRating,7.2,6.4,NoRating,
黑豹救援軍,Come Out Fighting,戰爭,美加,2022,史蒂芬路克,"凱蘭魯茲, 杜夫朗格, 邁克賈懷特, 泰瑞斯吉布森, 海勒姆A.莫瑞",https://hamivideo.hinet.net/product/225890.do?cs=2,3.9,85分鐘,tt10788058,29%,19%,3.7,3.7,NoRating,
天敵,The Contract,動作,美加,2007,布魯斯貝勒斯福,"約翰庫薩克, 摩根費里曼, 愛莉絲克瑞葛",https://hamivideo.hinet.net/product/235031.do?cs=2,3.9,96分鐘,tt30782714,0%,26%,NoRating,6.5,NoRating,
（非）一般欲望,(Ab)normal Desire,劇情,日本,2024,岸善幸,"稻垣吾郎, 新垣結衣, 磯村勇斗, 佐藤寬太, 東野絢香",https://hamivideo.hinet.net/product/262473.do?cs=2,3.8,134分鐘,tt26593385,NoRating,NoRating,6.3,6.2,NoRating,
A計劃,Project A,動作,香港,1983,成龍,"成龍, 洪金寶, 元彪",https://hamivideo.hinet.net/product/74247.do?cs=2,3.5,104分鐘,tt0085127,81%,83%,8.2,7.2,NoRating,
遠離賭城,Leaving Las Vegas,劇情,美加,1995,麥可費吉斯,"尼可拉斯凱吉, 伊麗莎白蘇, 朱利安山德斯",https://hamivideo.hinet.net/product/226498.do?cs=2,4.1,111分鐘,tt0113627,91%,85%,8,7.5,82/100,
殺戮追擊,God is a Bullet,動作,美加,2023,尼克凱薩維茲,"尼可拉科斯特瓦爾道, 傑米福克斯, 瑪嘉夢露, 珍妮艾莉瓊斯, 卡爾葛魯斯曼",https://hamivideo.hinet.net/product/246381.do?cs=2,3.8,155分鐘,tt14270702,24%,56%,5.3,5.8,31/100,
黑盒線索,Black Box,驚悚,法國,2022,雅恩高蘭,"皮耶尼內, 露德拉潔, 安狄度索里亞, 奧利維拉布爾丹",https://hamivideo.hinet.net/product/189136.do?cs=2,4.6,129分鐘,tt10341034,72%,65%,7.6,7.2,NoRating,
王朝的女人-楊貴妃,Lady of the Dynasty,劇情,中國,2015,"田壯壯, 張藝謀, 十慶","黎明, 范冰冰, 吳尊, 陳沖",https://hamivideo.hinet.net/product/190522.do?cs=2,3.9,119分鐘,tt2080418,NoRating,31%,3.8,4.3,NoRating,
妖神令,The Lord Of The Monsters,動作,中國,2024,"黃河, 謝文君","劉子瑞, 程金銘, 姜語心, 何中華",https://hamivideo.hinet.net/product/274402.do?cs=2,3.1,93分鐘,,NoRating,NoRating,5.1,NoRating,NoRating,
佔慾情人,Just the Two of Us,劇情,法國,2023,華蕾莉董澤利,"薇吉妮愛菲亞, 梅維爾波柏",https://hamivideo.hinet.net/product/246835.do?cs=2,3.8,104分鐘,tt23049206,72%,55%,6.4,6.5,65/100,
絕命終結站3,FINAL DESTINATION 3,驚悚,美加,2006,黃毅瑜,"瑪麗伊莉莎白文斯蒂德, 瑞恩莫里曼, 德克薩斯貝托",https://hamivideo.hinet.net/product/209585.do?cs=2,4.6,92分鐘,tt0414982,44%,57%,7.2,5.9,43/100,
鬼聖胎,Immaculate,驚悚,美加,2024,麥克莫翰,"席德妮史威尼, 席夢娜塔巴斯科, 阿爾法羅莫特",https://hamivideo.hinet.net/product/260795.do?cs=2,3.5,88分鐘,tt23137390,71%,58%,5.6,5.8,57/100,
乞丐王子,I am the King,劇情,韓國,2012,張圭成,"朱智勛, 林元熙, 李荷妮",https://hamivideo.hinet.net/product/166587.do?cs=2,4.0,121分鐘,tt2617852,NoRating,NoRating,6.2,5.8,NoRating,
歡迎來到駒田蒸餾所,Komada - A Whisky Family,動畫,日本,2023,吉原正行,"早見沙織, 小野賢章, 內田真禮, 細谷佳正, 堀內賢雄, 井上喜久子",https://hamivideo.hinet.net/product/255876.do?cs=2,4.6,90分鐘,tt27626792,NoRating,NoRating,6.6,6.5,NoRating,
無價之寶,Be My Family,喜劇,中國,2023,張大鵬,"張譯, 潘斌龍, 周依然, 程曦, 郝蕾",https://hamivideo.hinet.net/product/268337.do?cs=2,3.0,131分鐘,tt17081086,NoRating,NoRating,6.4,6.2,NoRating,
初戀築夢101,Architecture 101,愛情,韓國,2013,李勇周,"李帝勳, 裴秀智, 嚴泰雄, 韓佳人, 曹政奭, 柳演錫",https://hamivideo.hinet.net/product/169803.do?cs=2,4.5,116分鐘,tt2337981,NoRating,79%,7.5,7.2,NoRating,
原本以為只是手機掉了,Stolen Identity,劇情,日本,2019,中田秀夫,"北川景子, 田中圭, 千葉雄大",https://hamivideo.hinet.net/product/86327.do?cs=2,4.1,116分鐘,tt8531044,NoRating,NoRating,5.8,5.5,NoRating,
危險慾望,Vernissage,愛情,義大利,2022,帕皮柯西嘉托,"吉賽貝馬吉歐, 瑪格莉塔維卡里歐, 卡羅琳娜薩拉, 珊德菈西卡雷莉",https://hamivideo.hinet.net/product/234002.do?cs=2,3.4,88分鐘,tt18274350,NoRating,NoRating,NoRating,5.5,NoRating,
老千：獨眼傑克,Tazza：One Eyed Jack,劇情,韓國,2019,權五光,"朴正民, 柳承範, 李光洙, 崔有華",https://hamivideo.hinet.net/product/98098.do?cs=2,4.3,139分鐘,tt10927906,NoRating,75%,6.4,6.1,NoRating,
狂徒,The Scoundrels,動作,台灣,2018,洪子烜,"吳慷仁, 林哲熹, 李千娜, 謝欣穎, 高捷",https://hamivideo.hinet.net/product/76180.do?cs=2,4.1,105分鐘,tt9081774,NoRating,NoRating,6.5,6.5,NoRating,
一個人的武林,Kung Fu Jungle,動作,香港,2014,陳德森,"甄子丹, 楊采妮, 王寶強, 白冰",https://hamivideo.hinet.net/product/119665.do?cs=2,4.3,99分鐘,tt2952602,74%,59%,6.8,6.4,66/100,
凸搥特派員,Johnny English,喜劇,英國,2003,彼特郝威,"羅溫艾金森, 娜塔莉珍安博莉亞, 班米勒, 約翰馬可維奇",https://hamivideo.hinet.net/product/218092.do?cs=2,4.5,87分鐘,tt0274166,33%,51%,7.8,6.3,51/100,
大法師,The Exorcist,經典電影,美加,1973,威廉弗里德金,"艾倫伯斯汀, 馬克斯馮賽多",https://hamivideo.hinet.net/product/270691.do?cs=2,4.7,131分鐘,tt2049403,75%,87%,6.5,6.6,62/100,
